Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms ,Platform Metascores,Platform Metascore Counts
Ziggurat (2012),17/2/2012,Action Button Entertainment,Freshuu Inc.,Action,Not Rated,6.9,14,iOS (iPhone/iPad),83,Based on 18 Critic Reviews
4X4 EVO 2,15/11/2001,Terminal Reality,Gathering,Auto Racing Sim,Rated E For Everyone,6.894852313,,"Xbox, PC, GameCube","59, 69, 56","Based on 15 Critic Reviews, Based on 9 Critic Reviews, Based on 7 Critic Reviews"
MotoGP 2 (2001),22/1/2002,Namco,Namco,Auto Racing Sim,Rated E For Everyone,5.8,,PlayStation 2,78,Based on 18 Critic Reviews
Gothic 3,14/11/2006,Piranha Bytes,Aspyr,Western RPG,Rated T For Teen,7.5,832,PC,63,Based on 39 Critic Reviews
Siege Survival: Gloria Victis,18/5/2021,FishTankStudio,Black Eye Games,RPG,Not Rated,6.5,10,PC,69,Based on 12 Critic Reviews
Guitar Hero III: Legends of Rock,28/10/2007,Neversoft Entertainment,RedOctane,Rhythm,Rated T For Teen,8.4,144,"Wii, PlayStation 2, PlayStation 3, Xbox 360, PC","86, 82, 83, 85, 79","Based on 36 Critic Reviews, Based on 24 Critic Reviews, Based on 45 Critic Reviews, Based on 69 Critic Reviews, Based on 15 Critic Reviews"
Frantix: A Puzzle Adventure,19/9/2005,Killer Game,Sony Online Entertainment,Action Puzzle,Rated E For Everyone,6.894852313,,PSP,59,Based on 29 Critic Reviews
Xenoraid,8/11/2016,10tons,10tons,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.2,6,"PlayStation 4, PlayStation Vita, PC, Xbox One, iOS (iPhone/iPad), Nintendo Switch","65, 64, tbd, 68, tbd, 61","Based on 10 Critic Reviews, Based on 4 Critic Reviews, Based on 2 Critic Reviews, Based on 5 Critic Reviews, Based on 3 Critic Reviews, Based on 6 Critic Reviews"
The Sims: Livin' Large,27/8/2000,Maxis,EA Games,Virtual Life,Rated T For Teen,7.7,20,PC,82,Based on 23 Critic Reviews
Retrovirus,16/11/2012,Cadenza,Cadenza,FPS,Not Rated,6.6,20,PC,70,Based on 12 Critic Reviews
Til Morning's Light,20/5/2015,WayForward,Amazon Game Studios,Action,Not Rated,6.4,7,iOS (iPhone/iPad),77,Based on 8 Critic Reviews
The Political Machine 2012,31/7/2012,Stardock,Stardock,Turn-Based Strategy,Not Rated,6.5,30,PC,54,Based on 8 Critic Reviews
"Warhammer 40,000: Space Marine",6/9/2011,Relic Entertainment,THQ,Third Person Shooter,Rated M For Mature,7.8,259,"PC, Xbox 360, PlayStation 3","74, 76, 70","Based on 34 Critic Reviews, Based on 57 Critic Reviews, Based on 46 Critic Reviews"
Star Wars Episode III: Revenge of the Sith,4/5/2005,Double Helix Games,LucasArts,Action Adventure,Rated T For Teen,7.7,27,"PlayStation 2, Xbox, DS, Game Boy Advance","60, 61, 73, 73","Based on 34 Critic Reviews, Based on 44 Critic Reviews, Based on 22 Critic Reviews, Based on 13 Critic Reviews"
Saints Row IV,19/8/2013,Volition Inc.,Deep Silver,Open-World Action,Rated M For Mature,7.4,1997,"PC, Xbox 360, PlayStation 3","86, 81, 76","Based on 45 Critic Reviews, Based on 42 Critic Reviews, Based on 26 Critic Reviews"
The Hobbit: The Prelude to the Lord of the Rings,11/11/2003,Inevitable Entertainment,Sierra Entertainment,Action Adventure,Rated E For Everyone,8.4,18,"GameCube, PC, PlayStation 2, Game Boy Advance","61, 62, 59, 67","Based on 17 Critic Reviews, Based on 12 Critic Reviews, Based on 17 Critic Reviews, Based on 6 Critic Reviews"
Lost Orbit,12/5/2015,PixelNAUTS,PixelNAUTS,2D Platformer,Rated T For Teen,7.1,23,"PC, PlayStation 4","72, 77","Based on 6 Critic Reviews, Based on 19 Critic Reviews"
SwapQuest,23/2/2016,Constantin Graf,Constantin Graf,JRPG,Rated E +10 For Everyone +10,7,6,"iOS (iPhone/iPad), PlayStation Vita, Xbox One, PlayStation 4","85, 64, tbd, 64","Based on 5 Critic Reviews, Based on 10 Critic Reviews, Based on 2 Critic Reviews, Based on 4 Critic Reviews"
Command & Conquer: Red Alert 2 - Yuri's Revenge,10/10/2001,Westwood Studios,Electronic Arts,Command RTS,Rated T For Teen,8.7,269,PC,86,Based on 23 Critic Reviews
Lumines,22/3/2005,Q Entertainment,Ubisoft,Matching Puzzle,Rated E +10 For Everyone +10,7.5,47,PSP,89,Based on 55 Critic Reviews
Armored Core 3,5/9/2002,From Software,Agetec,Vehicle Combat Sim,Rated T For Teen,8.1,21,"PlayStation 2, PSP","74, 43","Based on 23 Critic Reviews, Based on 6 Critic Reviews"
